lemma	core_rank	frequency	pmw
医者	1894	3017	36.9201818
二十	1760	2996	36.6631968
売れる	1128	2994	36.6387220
そろそろ	2123	2992	36.6142473
約束	1894	2982	36.4918734
別に	2201	2972	36.3694996
近所	1545	2964	36.2716006
字	2290	2964	36.2716006
大いに	2634	2948	36.0758025
必死	2634	2943	36.0146155
番組	2123	2932	35.8800043
食べ物	4507	2930	35.8555296
思想	3743	2925	35.7943427
メニュー	2898	2909	35.5985446
四つ		2894	35.4149838
波	1545	2892	35.3905091
表面	2542	2876	35.1947109
あんな	3552	2875	35.1824736
計算	2542	2869	35.1090493
ビール	2123	2848	34.8520642
経営	1281	2844	34.8031147
空く	3743	2842	34.7786400
プログラム	3202	2838	34.7296904
半分	1589	2836	34.7052157
六日	1545	2834	34.6807409
遠く	2634	2833	34.6685035
失敗	3054	2829	34.6195540
急速	1702	2821	34.5216549
工場	2542	2821	34.5216549
九日	772	2818	34.4849428
犯罪	1545	2805	34.3258568
格好	1845	2794	34.1912456
両方	2634	2784	34.0688718
世間	2123	2783	34.0566344
具合	3202	2780	34.0199223
成長	2464	2777	33.9832101
都合	3054	2777	33.9832101
反対	2376	2774	33.9464980
直ちに	3202	2772	33.9220232
手術	1465	2770	33.8975484
参加	1048	2755	33.7139877
パン	2542	2751	33.6650382
思い出	2290	2749	33.6405634
マンション	1894	2742	33.5549017
スポーツ	1326	2735	33.4692401
取り入れる	1845	2721	33.2979167
赤	2771	2720	33.2856793
え	3975	2713	33.2000177
書類	3975	2713	33.2000177
許可	4831	2709	33.1510681
合計	1629	2696	32.9919822
米	797	2686	32.8696083
飛行機	2201	2680	32.7961841
風景	2123	2680	32.7961841
式	6810	2668	32.6493355
遊び	3552	2660	32.5514364
生産	1845	2657	32.5147243
質	1545	2644	32.3556383
さっき	3370	2643	32.3434009
プロ	1845	2639	32.2944514
適当	2290	2634	32.2332645
命令	6810	2630	32.1843149
限界	2376	2614	31.9885168
王	3054	2612	31.9640421
左右	3202	2610	31.9395673
ドラマ	1177	2610	31.9395673
農業	1500	2609	31.9273299
夕方	3054	2608	31.9150925
カード	2464	2598	31.7927187
実験	2634	2586	31.6458701
箱	3054	2586	31.6458701
言語	5205	2581	31.5846832
エンジン	3743	2567	31.4133599
料金	2464	2567	31.4133599
小学生	1952	2565	31.3888851
地図	2634	2552	31.2297991
スタイル	1952	2551	31.2175618
意思	2376	2547	31.1686122
真面目	2898	2546	31.1563748
本物	1326	2539	31.0707132
順	1804	2525	30.8993898
女子	1423	2525	30.8993898
文	2634	2512	30.7403039
ソフト	1894	2501	30.6056927
見解	3552	2495	30.5322684
管理	1760	2491	30.4833188
橋	3202	2491	30.4833188
道具	3975	2490	30.4710815
以来	1545	2487	30.4343693
体重	1804	2482	30.3731824
団体	2542	2480	30.3487076
姉	8613	2472	30.2508086
